lon,lat,property_type,neighbourhood,basement_finished,has_garage,has_fireplace,building_count,walkout_basement,air_conditioning,lot_size,Assessed_value_2015,Assessed_value_2016,change
-113.6235104,53.54298623,5,STONE INDUSTRIAL,0,0,0,0,0,0,41000.4,793500,825500,Increase
-113.6241536,53.54277484,5,STONE INDUSTRIAL,0,0,0,0,0,0,13053.6,114000,117500,Increase
-113.6241545,53.54390258,6,STONE INDUSTRIAL,0,0,0,0,0,0,13724.6,6000,6000,Decrease
-113.4899356,53.44614905,4,SOUTH EDMONTON COMMON,0,0,0,0,0,0,43535.7,1184000,1195000,Increase
-113.4938174,53.51951687,2,STRATHCONA,0,0,0,0,0,0,63,3500,5000,Increase
-113.4941213,53.52135805,3,STRATHCONA,0,0,0,0,0,0,22011.4,10000,10000,Decrease
-113.4941756,53.52169301,3,STRATHCONA,0,0,0,0,0,0,2460.7,1000,1000,Decrease
-113.4963019,53.53319512,3,ROSSDALE,0,0,0,0,0,0,178395.7,0,5625000,Increase
-113.495634,53.5341105,3,ROSSDALE,0,0,0,0,0,0,178395.7,2113000,2113000,Decrease
-113.4978186,53.61473565,3,BEAUMARIS,0,0,0,0,0,0,1077,500,500,Decrease
-113.4989174,53.61474026,3,BEAUMARIS,0,0,0,0,0,0,4014.2,1500,1500,Decrease
-113.4923216,53.54430299,4,DOWNTOWN,0,0,0,0,0,0,21355.8,0,0,Decrease
-113.4937373,53.5444605,4,DOWNTOWN,0,0,0,0,0,0,21355.8,1218500,1293000,Increase
-113.4306511,53.54508116,3,FULTON PLACE,0,0,0,0,0,0,102.1,500,500,Decrease
-113.4314451,53.54633849,3,FULTON PLACE,0,0,0,0,0,0,95.1,500,500,Decrease
-113.492844,53.545749,4,DOWNTOWN,0,0,0,0,0,0,5470.6,825500,992500,Increase
-113.4932616,53.54558299,4,DOWNTOWN,0,0,0,0,0,0,5997.8,905000,1088000,Increase
-113.4948541,53.54468213,4,DOWNTOWN,0,0,0,0,0,0,1490.8,85000,92000,Increase
-113.5023806,53.54442614,4,DOWNTOWN,0,0,0,0,0,0,7490.8,1078500,1166000,Increase
-113.5101848,53.54453249,3,DOWNTOWN,0,0,0,0,0,0,38878.2,17500,17500,Decrease
-113.5159894,53.54448518,3,OLIVER,0,0,0,0,0,0,112.5,500,500,Decrease
-113.5512731,53.5446016,6,GLENORA,0,0,0,0,0,0,15393.8,7000,7000,Decrease
-113.5550448,53.54484034,3,GLENORA,0,0,0,0,0,0,10837.1,4500,4500,Decrease
-113.5578064,53.54448116,3,GLENORA,0,0,0,0,0,0,166.1,500,500,Decrease
-113.4979333,53.53320199,2,ROSSDALE,0,0,0,0,0,0,7492.5,374500,412000,Increase
-113.4979333,53.53333678,2,ROSSDALE,0,0,0,0,0,0,7492.7,374500,412000,Increase
-113.4978556,53.53441927,3,ROSSDALE,0,0,0,0,0,0,8259.4,3500,3500,Decrease
-113.496962,53.5358705,2,DOWNTOWN,0,0,0,0,0,0,1529.4,37500,46000,Increase
-113.496914,53.536741,2,DOWNTOWN,0,0,0,0,0,0,7368.1,369500,467000,Increase
-113.4976458,53.53731638,5,DOWNTOWN,0,0,0,0,0,0,624.7,7500,7500,Decrease
-113.5012087,53.61563045,3,BEAUMARIS,0,0,0,0,0,0,1649.3,5500,5500,Decrease
-113.428687,53.54539978,3,FULTON PLACE,0,0,0,0,0,0,2099.1,500,500,Decrease
-113.4924965,53.54650658,4,DOWNTOWN,0,0,0,0,0,0,56911.1,6701000,6287500,Decrease
-113.4955983,53.494305,5,CALGARY TRAIL NORTH,0,0,0,0,0,0,20496.4,455000,475500,Increase
-113.4960074,53.4236615,4,CASHMAN,0,0,0,0,0,0,190847.8,4126000,3828500,Decrease
-113.4951541,53.42332162,4,CASHMAN,0,0,0,0,0,0,167609.5,3684000,12033000,Increase
-113.498539,53.42014578,6,CASHMAN,0,0,0,0,0,0,910372.6,7045500,13584500,Increase
-113.5004601,53.42237342,6,CASHMAN,0,0,0,0,0,0,2471257,2021500,2021500,Decrease
-113.5036646,53.41364664,6,CASHMAN,0,0,0,0,0,0,1375235.7,12385000,17005500,Increase
-113.49741,53.47412985,6,DUGGAN,0,0,0,0,0,0,1822.7,500,500,Decrease
-113.3915672,53.5574804,3,RUNDLE HEIGHTS,0,0,0,0,0,0,131.2,500,500,Decrease
-113.3914826,53.55824379,3,RUNDLE HEIGHTS,0,0,0,0,0,0,144.3,500,500,Decrease
-113.3929766,53.55812333,3,RUNDLE HEIGHTS,0,0,0,0,0,0,2478,0,0,Decrease
-113.3950848,53.55769369,3,RUNDLE HEIGHTS,0,0,0,0,0,0,1199.3,500,500,Decrease
-113.39509,53.55812505,3,RUNDLE HEIGHTS,0,0,0,0,0,0,2470.7,500,500,Decrease
-113.4091793,53.54683038,3,GOLD BAR,0,0,0,0,0,0,2200.6,1000,1000,Decrease
-113.416305,53.54684291,3,GOLD BAR,0,0,0,0,0,0,2200.1,0,0,Decrease
